% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, p1.value as param1
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% learner_parameter_value p1
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and p1.lpid = 63 and p1.laid = la.laid and
% li.name = "weka.J48"

alg_name,dataset,id,param1
weka.J48,kropt,294102,false
weka.J48,satimage,294224,false
weka.J48,waveform-5000,289835,true
weka.J48,adult,292081,true
weka.J48,covertype,292404,true
weka.J48,kropt,293713,true
weka.J48,satimage,294114,true
weka.J48,letter,255758,true
weka.J48,mushroom,267757,true
weka.J48,nursery,268920,true
weka.J48,optdigits,270288,true
weka.J48,page-blocks,271826,true
weka.J48,pendigits,272889,true
weka.J48,waveform-5000,289990,true
weka.J48,adult,292078,true
weka.J48,covertype,292468,true
weka.J48,kropt,293705,true
weka.J48,satimage,294273,true
weka.J48,waveform-5000,290087,false
weka.J48,adult,292028,false
weka.J48,covertype,292474,false
weka.J48,satimage,294174,false
weka.J48,waveform-5000,290184,false
weka.J48,adult,292162,false
weka.J48,covertype,292552,false
weka.J48,kropt,293967,false
weka.J48,satimage,294154,false
weka.J48,adult,292118,false
weka.J48,kropt,293771,false
weka.J48,waveform-5000,290081,true
weka.J48,adult,292115,true
weka.J48,covertype,292449,true
weka.J48,kropt,293784,true
weka.J48,satimage,294152,true
weka.J48,waveform-5000,289899,true
weka.J48,adult,292128,true
weka.J48,covertype,292481,true
weka.J48,kropt,293712,true
weka.J48,satimage,294226,true
weka.J48,waveform-5000,289883,true
weka.J48,adult,292015,true
weka.J48,covertype,292415,true
weka.J48,kropt,294022,true
weka.J48,satimage,294135,true
weka.J48,satimage,294486,false
weka.J48,waveform-5000,290060,true
weka.J48,adult,292097,true
weka.J48,covertype,292455,true
weka.J48,kropt,293795,true
weka.J48,satimage,294309,true
weka.J48,letter,256151,true
weka.J48,mushroom,267904,true
weka.J48,nursery,268902,true
weka.J48,optdigits,270602,true
weka.J48,page-blocks,271595,true
weka.J48,pendigits,273062,true
weka.J48,waveform-5000,290099,true
weka.J48,adult,292004,true
weka.J48,covertype,292401,true
weka.J48,kropt,293768,true
weka.J48,satimage,294285,true
weka.J48,waveform-5000,290147,false
weka.J48,waveform-5000,290027,false
weka.J48,waveform-5000,289931,true
weka.J48,adult,292047,true
weka.J48,covertype,292403,true
weka.J48,kropt,293707,true
weka.J48,satimage,294382,true
weka.J48,letter,255893,true
weka.J48,mushroom,267973,true
weka.J48,nursery,269327,true
weka.J48,optdigits,270177,true
weka.J48,page-blocks,271730,true
weka.J48,pendigits,272871,true
weka.J48,waveform-5000,289937,true
weka.J48,adult,292014,true
weka.J48,covertype,292430,true
weka.J48,kropt,293822,true
weka.J48,satimage,294187,true
weka.J48,waveform-5000,289929,false
weka.J48,adult,292173,false
weka.J48,covertype,292685,false
weka.J48,satimage,294466,false
weka.J48,satimage,294147,false
weka.J48,letter,255776,true
weka.J48,mushroom,267569,true
weka.J48,nursery,268912,true
weka.J48,optdigits,270270,true
weka.J48,page-blocks,271845,true
weka.J48,pendigits,273147,true
weka.J48,waveform-5000,290032,true
weka.J48,adult,291961,true
weka.J48,covertype,292517,true
weka.J48,kropt,293694,true
weka.J48,satimage,294115,true
weka.J48,waveform-5000,289887,true
weka.J48,adult,292178,true
weka.J48,covertype,292489,true
weka.J48,kropt,293714,true
weka.J48,satimage,294394,true
weka.J48,letter,255947,true
weka.J48,mushroom,267918,true
weka.J48,nursery,268971,true
weka.J48,optdigits,270213,true
weka.J48,page-blocks,272057,true
weka.J48,pendigits,272918,true
weka.J48,waveform-5000,289839,true
weka.J48,adult,292123,true
weka.J48,covertype,292636,true
weka.J48,kropt,294017,true
weka.J48,satimage,294256,true
weka.J48,letter,255838,true
weka.J48,mushroom,267961,true
weka.J48,nursery,268862,true
weka.J48,optdigits,270638,true
weka.J48,page-blocks,271724,true
weka.J48,pendigits,272930,true
