% Query:
% SELECT li.name as alg_name, d.name as dataset, e.eid as id, p1.value as param3
% FROM
% dataset d,
% data_property_value dp,
% experiment e,
% learner_application la,
% learner_implementation li,
% learner_parameter_value p1
% WHERE d.did = dp.did and dp.dpid = 9 and dp.value >= 5000 and
% d.did = e.did and la.laid = e.laid and la.liid = li.liid and p1.lpid = 65 and p1.laid = la.laid and
% li.name = "weka.J48"

alg_name,dataset,id,param3
weka.J48,letter,283,2
weka.J48,mushroom,1255,2
weka.J48,nursery,1363,2
weka.J48,optdigits,1471,2
weka.J48,page-blocks,1579,2
weka.J48,pendigits,1687,2
weka.J48,waveform-5000,3199,2
weka.J48,letter,6763,2
weka.J48,mushroom,7735,2
weka.J48,nursery,7843,2
weka.J48,optdigits,7951,2
weka.J48,page-blocks,8059,2
weka.J48,pendigits,8167,2
weka.J48,waveform-5000,9679,2
weka.J48,adult,232498,2
weka.J48,covertype,232606,2
weka.J48,satimage,232714,2
weka.J48,kropt,232822,2
weka.J48,letter,450234,2
weka.J48,mushroom,451039,2
weka.J48,nursery,451134,2
weka.J48,optdigits,451225,2
weka.J48,page-blocks,451314,2
weka.J48,pendigits,451403,2
weka.J48,waveform-5000,452671,2
weka.J48,adult,452887,2
weka.J48,covertype,452932,2
weka.J48,kropt,453067,2
weka.J48,satimage,453112,2
weka.J48,letter,73481,2
weka.J48,mushroom,117760,2
weka.J48,optdigits,120986,2
weka.J48,nursery,123902,2
weka.J48,page-blocks,129367,2
weka.J48,pendigits,134294,2
weka.J48,waveform-5000,192802,2
weka.J48,adult,234309,2
weka.J48,covertype,238627,2
weka.J48,satimage,242945,2
weka.J48,kropt,247263,2
weka.J48,letter,73484,2
weka.J48,mushroom,117761,2
weka.J48,optdigits,120988,2
weka.J48,nursery,123903,2
weka.J48,page-blocks,129368,2
weka.J48,pendigits,134295,2
weka.J48,waveform-5000,192803,2
weka.J48,adult,234310,2
weka.J48,covertype,238628,2
weka.J48,satimage,242946,2
weka.J48,kropt,247264,2
weka.J48,letter,73487,2
weka.J48,mushroom,117762,2
weka.J48,optdigits,120991,2
weka.J48,nursery,123904,2
weka.J48,page-blocks,129369,2
weka.J48,pendigits,134296,2
weka.J48,waveform-5000,192804,2
weka.J48,adult,234311,2
weka.J48,covertype,238629,2
weka.J48,satimage,242947,2
weka.J48,kropt,247265,2
weka.J48,letter,73490,2
weka.J48,mushroom,117763,2
weka.J48,optdigits,120993,2
weka.J48,nursery,123905,2
weka.J48,page-blocks,129371,2
weka.J48,pendigits,134297,2
weka.J48,waveform-5000,192805,2
weka.J48,adult,234312,2
weka.J48,covertype,238630,2
weka.J48,satimage,242948,2
weka.J48,kropt,247266,2
weka.J48,letter,73493,2
weka.J48,mushroom,117764,2
weka.J48,optdigits,120995,2
weka.J48,nursery,123906,2
weka.J48,page-blocks,129372,2
weka.J48,pendigits,134298,2
weka.J48,waveform-5000,192806,2
weka.J48,adult,234313,2
weka.J48,covertype,238631,2
weka.J48,satimage,242949,2
weka.J48,kropt,247267,2
weka.J48,letter,73496,2
weka.J48,mushroom,117765,2
weka.J48,optdigits,120997,2
weka.J48,nursery,123907,2
weka.J48,page-blocks,129373,2
weka.J48,pendigits,134299,2
weka.J48,waveform-5000,192807,2
weka.J48,adult,234314,2
weka.J48,covertype,238632,2
weka.J48,satimage,242950,2
weka.J48,kropt,247268,2
weka.J48,letter,73498,2
weka.J48,mushroom,117766,2
weka.J48,optdigits,121000,2
weka.J48,nursery,123908,2
weka.J48,page-blocks,129374,2
weka.J48,pendigits,134300,2
weka.J48,waveform-5000,192808,2
weka.J48,adult,234315,2
weka.J48,covertype,238633,2
weka.J48,satimage,242951,2
weka.J48,kropt,247269,2
weka.J48,letter,73501,2
weka.J48,mushroom,117767,2
weka.J48,optdigits,121002,2
weka.J48,nursery,123909,2
weka.J48,page-blocks,129376,2
weka.J48,pendigits,134301,2
weka.J48,waveform-5000,192809,2
weka.J48,adult,234316,2
weka.J48,covertype,238634,2
weka.J48,satimage,242952,2
weka.J48,kropt,247270,2
weka.J48,letter,73504,2
weka.J48,mushroom,117768,2
weka.J48,optdigits,121003,2
weka.J48,nursery,123910,2
weka.J48,page-blocks,129377,2
weka.J48,pendigits,134302,2
weka.J48,waveform-5000,192810,2
weka.J48,adult,234317,2
weka.J48,covertype,238635,2
weka.J48,satimage,242953,2
weka.J48,kropt,247271,2
weka.J48,letter,73507,2
weka.J48,mushroom,117769,2
weka.J48,optdigits,121005,2
weka.J48,nursery,123912,2
weka.J48,page-blocks,129378,2
weka.J48,pendigits,134303,2
weka.J48,waveform-5000,192811,2
weka.J48,adult,234318,2
weka.J48,covertype,238636,2
weka.J48,satimage,242954,2
weka.J48,kropt,247272,2
weka.J48,letter,73510,2
weka.J48,mushroom,117770,2
weka.J48,optdigits,121008,2
weka.J48,nursery,123913,2
weka.J48,page-blocks,129380,2
weka.J48,pendigits,134304,2
weka.J48,waveform-5000,192812,2
weka.J48,adult,234319,2
weka.J48,covertype,238637,2
weka.J48,satimage,242955,2
weka.J48,kropt,247273,2
weka.J48,letter,73513,2
weka.J48,mushroom,117771,2
weka.J48,optdigits,121010,2
weka.J48,nursery,123914,2
